# Energy	Flux_temporale
1.398655339495812400e+16 6.853151386622296320e+17
1.417304076902662000e+16 2.967931883876030720e+17
1.435952814309511600e+16 -3.910369995170041600e+16
1.454601551716361000e+16 -2.927061541527753600e+17
1.473250289123210400e+16 -4.681260623986791680e+17
1.491899026530060000e+16 -5.747000331912510080e+17
1.510547763936909600e+16 -6.217646750323275520e+17
1.529196501343759000e+16 -6.186565964237470720e+17
1.547845238750608400e+16 -5.747124058673494400e+17
1.566493976157458000e+16 -4.992687118649719680e+17
1.585142713564307600e+16 -4.016621229184535040e+17
1.603791450971157000e+16 -2.912292475296339840e+17
1.622440188378006400e+16 -1.773066942003507200e+17
1.641088925784856000e+16 -6.923107143244123200e+16
1.659737663191705600e+16 2.369567699396046400e+16
1.678386400598555000e+16 9.584791855230905600e+16
1.697035138005404400e+16 1.484769865009251200e+17
1.715683875412254000e+16 1.835888282036865920e+17
1.734332612819103600e+16 2.031893910244704640e+17
1.752981350225953000e+16 2.092846223271546880e+17
1.771630087632802400e+16 2.038804694756170560e+17
1.790278825039652000e+16 1.889828798337352000e+17
1.808927562446501600e+16 1.665978007653868800e+17
1.827576299853351200e+16 1.387311796344497600e+17
1.846225037260200400e+16 1.073889638048023200e+17
1.864873774667050000e+16 7.457710064032091200e+16
1.883522512073899600e+16 4.230153750488400000e+16
1.902171249480748800e+16 1.256822176236991000e+16
1.920819986887598400e+16 -1.267714714075249400e+16
1.939468724294448000e+16 -3.270126952199512800e+16
1.958117461701297600e+16 -4.789413190799553600e+16
1.976766199108147200e+16 -5.868811346249880800e+16
1.995414936514996400e+16 -6.551559334925005600e+16
2.014063673921846000e+16 -6.880895073199479200e+16
2.032712411328695600e+16 -6.900056477447802400e+16
2.051361148735544800e+16 -6.652281464044502400e+16
2.070009886142394400e+16 -6.180807949364084800e+16
2.088658623549244000e+16 -5.528873849781074400e+16
2.107307360956093600e+16 -4.739717081669993600e+16
2.125956098362943200e+16 -3.856575561405358400e+16
2.144604835769792400e+16 -2.922687205361710000e+16
2.163253573176642000e+16 -1.981289929913529200e+16
2.181902310583491600e+16 -1.075621651435355200e+16
2.200551047990340800e+16 -2.489202863017228500e+15
2.219199785397190400e+16 4.581945003647147000e+15
2.237848522804040000e+16 1.035320376694040200e+16
2.256497260210889600e+16 1.491446182316796800e+16
2.275145997617739200e+16 1.835879307772114800e+16
2.293794735024588400e+16 2.077927143599121600e+16
2.312443472431438000e+16 2.226897080336954800e+16
2.331092209838287600e+16 2.292096508524740800e+16
2.349740947245136800e+16 2.282832818701608400e+16
2.368389684651986400e+16 2.208413401406688000e+16
2.387038422058836000e+16 2.078145647179110400e+16
2.405687159465685600e+16 1.901336946558003200e+16
2.424335896872535200e+16 1.687294690082498000e+16
2.442984634279384400e+16 1.445326268291730400e+16
2.461633371686234000e+16 1.184739071724818800e+16
2.480282109093083600e+16 9.148404909208988000e+15
2.498930846499932800e+16 6.449379164191063000e+15
2.517579583906782400e+16 3.843387387585593000e+15
2.536228321313632000e+16 1.423503484783944500e+15
2.554877058720481600e+16 -7.180256357270142500e+14
2.573525796127331200e+16 -2.532304931300168000e+15
2.592174533534180400e+16 -4.034258968245187500e+15
2.610823270941030000e+16 -5.243925735956903000e+15
2.629472008347879600e+16 -6.181343223830054000e+15
2.648120745754728800e+16 -6.866549421259383000e+15
2.666769483161578400e+16 -7.319582317639704000e+15
2.685418220568428000e+16 -7.560479902365763000e+15
2.704066957975277600e+16 -7.609280164832327000e+15
2.722715695382127200e+16 -7.486021094434161000e+15
2.741364432788976400e+16 -7.210740680566048000e+15
